,index,population,supermarket
411,080310003032006,103.0,806.2
412,080310003032008,8.0,930.5
413,080310003032009,90.0,743.9
414,080310003032010,38.0,968.3
415,080310003032011,53.0,888.6
416,080310003032012,48.0,790.7
417,080310003032013,48.0,608.1
418,080310003033000,66.0,1239.6
419,080310003033001,66.0,1435.0
420,080310003033002,133.0,1388.0
421,080310003033003,87.0,1192.1
422,080310003033004,61.0,1201.9
423,080310003033005,69.0,1402.3
424,080310003033006,72.0,1332.5
425,080310003033007,78.0,1130.9
426,080310003033008,80.0,1064.8
427,080310003033009,56.0,1265.7
428,080310003033010,59.0,1167.4
429,080310003033011,71.0,966.5
430,080310003034000,42.0,1012.9
431,080310003034001,30.0,939.5
432,080310003034002,57.0,1071.1
433,080310003034003,70.0,1111.8
434,080310003034004,68.0,1211.3
435,080310003034005,73.0,1172.8
436,080310003034006,52.0,1272.2
437,080310003034007,59.0,1310.9
438,080310003034008,63.0,1345.0
439,080310003034009,67.0,1361.7
440,080310003034010,78.0,1441.9
441,080310003034011,49.0,1245.6
442,080310003035000,50.0,924.2
443,080310003035001,66.0,863.4
444,080310003035002,28.0,806.9
445,080310003035003,20.0,719.9
446,080310003035004,68.0,661.4
447,080310003035005,68.0,861.1
448,080310003035006,29.0,918.4
449,080310003035007,31.0,1002.5
450,080310003035008,55.0,1061.4
451,080310003035009,58.0,1130.5
452,080310003035010,22.0,1281.3
453,080310003035011,48.0,1264.4
454,080310003035012,39.0,1205.9
455,080310003035013,40.0,1119.7
456,080310003035014,58.0,1061.5
457,080310003035015,36.0,1383.7
458,080310003036000,68.0,1540.1
459,080310003036001,62.0,1460.3
460,080310003036002,56.0,1358.3
461,080310003036003,46.0,1256.6
462,080310003036004,64.0,1461.1
463,080310003036005,24.0,1509.6
464,080310003036006,31.0,1602.6
465,080310003036007,56.0,1652.8
466,080310003036008,57.0,1566.4
467,080310003036009,72.0,1456.5
468,080310003036010,91.0,1554.2
469,080310003036011,68.0,1653.8
470,080310004011000,57.0,929.0
471,080310004011001,45.0,1027.9
472,080310004011002,51.0,1127.4
473,080310004011003,17.0,1185.3
474,080310004011004,31.0,1156.7
475,080310004011005,30.0,1135.2
476,080310004011006,19.0,1028.9
477,080310004011007,47.0,895.1
478,080310004011008,23.0,1004.4
479,080310004011009,43.0,1063.9
480,080310004011010,45.0,992.5
481,080310004011011,60.0,892.8
482,080310004011012,54.0,794.1
483,080310004011013,57.0,659.8
484,080310004011014,57.0,758.7
485,080310004011015,54.0,857.7
486,080310004011016,53.0,930.0
487,080310004011017,57.0,816.8
488,080310004012000,33.0,530.5
489,080310004012001,43.0,629.5
490,080310004012002,54.0,728.5
491,080310004012003,40.0,799.5
492,080310004012004,47.0,698.6
493,080310004012005,87.0,534.8
494,080310004012006,36.0,666.4
495,080310004012007,36.0,714.4
496,080310004012008,54.0,615.4
497,080310004012009,54.0,516.3
498,080310004012010,43.0,637.8
499,080310004012011,28.0,732.1
500,080310004012012,37.0,633.6
501,080310004012013,56.0,534.2
502,080310004012014,135.0,530.0
503,080310004013000,51.0,542.5
504,080310004013001,32.0,478.1
505,080310004013002,21.0,443.0
506,080310004013003,77.0,529.0
507,080310004013006,58.0,628.4
508,080310004013007,86.0,428.6
509,080310004013008,87.0,462.3
510,080310004013009,51.0,534.4
511,080310004013010,56.0,284.0
512,080310004013011,50.0,177.5
513,080310004013012,58.0,410.6
514,080310004013013,52.0,527.3
515,080310004013014,67.0,425.9
516,080310004013015,63.0,224.5
517,080310004014000,57.0,958.8
518,080310004014001,58.0,867.2
519,080310004014002,85.0,874.2
520,080310004014003,63.0,1087.4
521,080310004014004,73.0,1009.9
522,080310004014006,19.0,1146.5
523,080310004014007,67.0,870.6
524,080310004014008,30.0,796.0
525,080310004014009,24.0,721.4
526,080310004014010,37.0,731.4
527,080310004014011,49.0,823.5
528,080310004014012,43.0,688.6
529,080310004014013,60.0,595.8
530,080310004014014,39.0,603.9
531,080310004014015,45.0,739.6
532,080310004014016,66.0,894.6
533,080310004014018,2.0,950.7
534,080310004021000,63.0,794.2
535,080310004021001,35.0,677.3
536,080310004021002,64.0,528.0
537,080310004021003,71.0,413.2
538,080310004021004,41.0,278.1
539,080310004021005,46.0,487.9
540,080310004021006,50.0,548.0
541,080310004021008,54.0,811.1
542,080310004021009,52.0,921.9
543,080310004021010,39.0,1019.6
544,080310004021011,55.0,916.2
545,080310004021012,23.0,780.1
546,080310004021013,77.0,637.4
547,080310004021014,48.0,521.8
548,080310004022000,70.0,885.2
549,080310004022001,51.0,770.8
550,080310004022002,57.0,647.6
551,080310004022003,85.0,500.7
552,080310004022004,52.0,469.9
553,080310004022005,73.0,340.6
554,080310004022006,67.0,377.3
555,080310004022007,57.0,487.2
556,080310004022008,69.0,636.5
557,080310004022009,101.0,770.8
558,080310004022010,64.0,820.3
559,080310004022011,43.0,493.5
560,080310004022012,57.0,379.3
561,080310004022013,119.0,341.4
562,080310004022014,73.0,204.6
563,080310004023000,53.0,681.5
564,080310004023001,32.0,626.2
565,080310004023002,47.0,612.4
566,080310004023003,102.0,464.2
567,080310004023004,40.0,348.5
568,080310004023005,49.0,393.0
569,080310004023006,89.0,508.0
570,080310004023007,14.0,573.1
571,080310004023008,114.0,669.2
572,080310004023009,67.0,726.2
573,080310004023010,11.0,838.5
574,080310004023011,61.0,740.5
575,080310004023012,218.0,625.6
576,080310004023013,112.0,510.3
577,080310004023014,25.0,637.5
578,080310004023015,79.0,752.5
579,080310004023016,36.0,866.3
580,080310004023017,101.0,1078.2
581,080310004023018,84.0,1085.9
582,080310004023020,27.0,974.2
583,080310004023021,2.0,740.1
584,080310004024000,57.0,154.8
585,080310004024001,88.0,115.0
586,080310004024002,147.0,618.3
587,080310004024004,77.0,159.3
588,080310004024005,88.0,185.0
589,080310004024008,43.0,197.8
590,080310004024009,10.0,414.3
591,080310004024010,79.0,284.9
592,080310004024012,8.0,567.1
593,080310004024013,37.0,652.9
594,080310004025000,57.0,473.5
595,080310004025001,61.0,598.9
596,080310004025002,62.0,719.8
597,080310004025003,60.0,851.4
598,080310004025005,64.0,752.5
599,080310004025006,133.0,639.7
600,080310004025007,88.0,489.6
601,080310004025008,71.0,341.5
602,080310004025009,53.0,268.1
603,080310004025010,252.0,538.7
604,080310004026000,31.0,162.4
605,080310004026001,53.0,189.8
606,080310004026002,134.0,323.4
607,080310004026003,31.0,436.1
608,080310004026004,72.0,457.7
609,080310004026005,61.0,320.9
610,080310004026006,51.0,319.6
611,080310004026007,70.0,437.6
612,080310004026008,44.0,469.7
613,080310004026009,58.0,591.3
614,080310004026011,55.0,600.9
615,080310005011000,54.0,1678.6
616,080310005011001,53.0,1652.8
617,080310005011002,51.0,1553.0
618,080310005011003,39.0,1464.5
619,080310005011004,25.0,1561.7
620,080310005011005,33.0,1386.2
621,080310005011006,38.0,1539.6
622,080310005011007,29.0,1324.3
623,080310005011008,16.0,1439.9
624,080310005011009,93.0,1628.0
625,080310005011010,39.0,1522.0
626,080310005011011,51.0,1552.7
627,080310005011012,14.0,1562.4
628,080310005011013,27.0,1539.3
629,080310005011014,31.0,1443.9
630,080310005011015,63.0,1537.9
631,080310005011016,43.0,1578.3
632,080310005011017,27.0,1644.8
633,080310005011018,44.0,1739.3
634,080310005011019,40.0,1741.5
635,080310005011020,47.0,1664.9
636,080310005011021,50.0,1697.5
637,080310005011022,39.0,1584.4
638,080310005011023,45.0,1484.1
639,080310005012000,19.0,1446.7
640,080310005012001,16.0,1547.2
641,080310005012002,23.0,1647.0
642,080310005012003,39.0,1844.6
643,080310005012004,10.0,1682.2
644,080310005012005,17.0,1703.1
645,080310005012006,14.0,1612.3
646,080310005012007,49.0,1535.5
647,080310005012008,48.0,1437.7
648,080310005012009,51.0,1341.2
649,080310005012010,64.0,1322.1
650,080310005012011,39.0,1227.6
651,080310005012013,21.0,2198.6
652,080310005012018,3.0,2244.5
653,080310005012019,21.0,1923.7
654,080310005012020,18.0,2208.7
655,080310005012022,36.0,2042.1
656,080310005012023,31.0,1605.0
657,080310005012024,9.0,1641.7
658,080310005012025,14.0,1546.0
659,080310005012026,14.0,1638.9
660,080310005012027,17.0,1744.4
661,080310005012028,8.0,1807.9
662,080310005012031,46.0,2115.4
663,080310005012032,39.0,1982.3
664,080310005012033,44.0,1856.7
665,080310005012034,37.0,1739.3
666,080310005012035,21.0,1839.6
667,080310005012036,32.0,1956.4
668,080310005012037,23.0,2083.3
669,080310005021000,98.0,448.7
670,080310005021001,127.0,648.2
671,080310005021002,70.0,768.0
672,080310005021003,79.0,868.3
673,080310005021004,48.0,968.4
674,080310005021005,75.0,1067.9
675,080310005021006,61.0,971.2
676,080310005021007,56.0,953.7
677,080310005021008,62.0,772.3
678,080310005021009,70.0,672.4
679,080310005021010,40.0,565.0
680,080310005021011,53.0,465.6
681,080310005021012,32.0,367.0
682,080310005021013,102.0,273.2
683,080310005021014,93.0,286.5
684,080310005021015,68.0,487.3
