,geoid10,population,supermarket
723,170310204002019,81.0,831.1
724,170310204002020,44.0,994.2
725,170310204002021,154.0,1165.1
726,170310204002022,102.0,1336.2
727,170310204003000,127.0,680.8
728,170310204003001,330.0,742.7
729,170310204003002,43.0,969.5
730,170310204003003,154.0,1141.2
731,170310204003004,65.0,1287.7
732,170310204003005,9.0,1348.5
733,170310204003006,61.0,918.1
734,170310204003007,170.0,1090.8
735,170310204003008,93.0,1237.7
736,170310204003009,119.0,1206.4
737,170310204003010,158.0,1059.8
738,170310204003011,212.0,972.0
739,170310204003012,89.0,652.6
740,170310204003013,134.0,618.2
741,170310204003014,85.0,556.9
742,170310204003015,28.0,989.4
743,170310204003016,30.0,1245.3
744,170310205001000,762.0,508.7
745,170310205001001,275.0,623.5
746,170310205001002,92.0,316.0
747,170310205001003,138.0,416.3
748,170310205001004,120.0,517.3
749,170310205001005,120.0,568.3
750,170310205001006,46.0,467.3
751,170310205001007,155.0,366.5
752,170310205001008,,519.8
753,170310205001009,109.0,570.3
754,170310205001010,102.0,620.0
755,170310205001011,48.0,670.1
756,170310205001012,195.0,720.4
757,170310205001013,85.0,767.8
758,170310205001014,51.0,666.7
759,170310205001015,67.0,541.1
760,170310205001016,147.0,469.8
761,170310205002000,71.0,869.9
762,170310205002001,57.0,920.6
763,170310205002002,70.0,833.6
764,170310205002003,159.0,759.8
765,170310205002004,,681.8
766,170310205002005,30.0,583.8
767,170310205002006,38.0,685.2
768,170310205002007,104.0,833.0
769,170310205002008,133.0,883.3
770,170310205002009,96.0,922.0
771,170310205002010,39.0,786.3
772,170310205002011,112.0,782.7
773,170310205003000,,358.9
774,170310205003001,328.0,305.2
775,170310205003002,237.0,973.1
776,170310205003003,92.0,420.8
777,170310205003004,228.0,354.6
778,170310205003005,203.0,458.7
779,170310205003006,397.0,12.3
780,170310205003007,154.0,430.4
781,170310205003008,103.0,444.8
782,170310205004000,164.0,807.1
783,170310205004001,102.0,718.7
784,170310205004002,117.0,669.2
785,170310205004003,79.0,718.0
786,170310205004004,54.0,818.8
787,170310205004005,103.0,821.7
788,170310205004006,70.0,821.3
789,170310205004007,114.0,720.9
790,170310205004008,123.0,868.8
791,170310205004009,47.0,924.9
792,170310205004010,78.0,873.6
793,170310206011000,,958.8
794,170310206011001,32.0,1070.3
795,170310206011002,28.0,1059.5
796,170310206011003,17.0,1106.7
797,170310206011004,34.0,1177.3
798,170310206011005,27.0,1277.9
799,170310206011006,18.0,1259.1
800,170310206011007,114.0,779.3
801,170310206011008,164.0,729.7
802,170310206011009,213.0,902.5
803,170310206011010,29.0,852.0
804,170310206011011,79.0,677.5
805,170310206011012,62.0,628.2
806,170310206011013,90.0,577.3
807,170310206011014,51.0,1005.4
808,170310206011015,37.0,1056.2
809,170310206011016,36.0,1154.1
810,170310206011017,27.0,1206.2
811,170310206011018,46.0,1204.9
812,170310206011019,48.0,1230.9
813,170310206011020,60.0,1181.3
814,170310206011021,70.0,1008.5
815,170310206011022,72.0,1058.3
816,170310206011023,69.0,1032.4
817,170310206011024,42.0,1033.7
818,170310206011025,63.0,979.9
819,170310206011026,70.0,881.7
820,170310206011027,50.0,831.6
821,170310206011028,91.0,958.7
822,170310206011029,87.0,905.9
823,170310206012000,186.0,681.1
824,170310206012001,208.0,780.3
825,170310206012002,174.0,832.9
826,170310206012003,229.0,832.5
827,170310206012004,165.0,862.1
828,170310206012005,166.0,809.4
829,170310206012006,126.0,760.4
830,170310206012007,75.0,710.1
831,170310206012008,69.0,535.5
832,170310206012009,95.0,585.5
833,170310206012010,147.0,637.0
834,170310206012011,155.0,686.8
835,170310206012012,166.0,655.6
836,170310206012013,139.0,655.9
837,170310206012014,157.0,604.9
838,170310206012015,132.0,504.4
839,170310206012016,44.0,531.8
840,170310206012017,8.0,612.8
841,170310206012018,85.0,511.7
842,170310206012019,39.0,410.5
843,170310206012020,36.0,332.0
844,170310206012021,122.0,434.7
845,170310206012022,143.0,382.4
846,170310206012023,56.0,282.5
847,170310206012024,29.0,239.7
848,170310206012025,57.0,484.9
849,170310206013000,218.0,376.2
850,170310206013001,146.0,428.2
851,170310206013002,124.0,477.5
852,170310206013003,143.0,577.4
853,170310206013004,67.0,629.6
854,170310206013005,206.0,629.8
