,geoid10,population,supermarket
493,245100302002042,,363.2
494,245100302002043,8.0,235.2
495,245100401001000,,549.6
496,245100401001001,,550.4
497,245100401001002,,445.3
498,245100401001003,,442.7
499,245100401001004,,401.6
500,245100401001005,,324.4
501,245100401001006,114.0,442.3
502,245100401001007,,509.8
503,245100401001008,,517.5
504,245100401001009,,341.8
505,245100401001010,,379.8
506,245100401001011,,400.2
507,245100401001012,11.0,276.3
508,245100401001013,,242.8
509,245100401001014,,345.5
510,245100401001015,,349.2
511,245100401001016,,291.9
512,245100401001017,,437.5
513,245100401001018,,350.3
514,245100401001019,,207.0
515,245100401001020,,321.2
516,245100401001021,241.0,366.8
517,245100401001022,45.0,408.5
518,245100401001023,,682.5
519,245100401001024,,644.5
520,245100401001025,,657.9
521,245100401001026,1.0,768.9
522,245100401001027,,724.2
523,245100401001028,,614.5
524,245100401001029,,537.9
525,245100401001030,,461.5
526,245100401001031,,1021.9
527,245100401001032,,826.4
528,245100401001033,,693.5
529,245100401001034,,613.3
530,245100401001035,148.0,578.8
531,245100401001036,,506.5
532,245100401001037,,309.3
533,245100401001038,,241.7
534,245100401001039,,225.0
535,245100401001040,,314.3
536,245100401001041,,296.1
537,245100401001042,228.0,824.6
538,245100401001043,,896.9
539,245100401001044,,966.6
540,245100401001045,,1057.3
541,245100401001046,,901.5
542,245100401001047,,1096.6
543,245100401001048,,1001.0
544,245100401001049,,1041.3
545,245100401001050,,958.3
546,245100401001051,,784.8
547,245100401001052,,765.7
548,245100401001053,,616.8
549,245100401001054,,586.9
550,245100401001055,,508.9
551,245100401001056,5.0,494.1
552,245100401001057,,438.2
553,245100401001058,,268.0
554,245100401001059,5.0,190.4
555,245100401001060,,262.4
556,245100401001061,,99.1
557,245100401001062,14.0,134.8
558,245100401001063,40.0,189.8
559,245100401001064,,433.3
560,245100401001065,2.0,314.6
561,245100401001066,1.0,730.8
562,245100401001067,,653.5
563,245100401001068,262.0,903.6
564,245100401001069,,858.2
565,245100401001070,53.0,921.5
566,245100401001071,59.0,932.8
567,245100401001072,145.0,1007.8
568,245100401001073,308.0,1010.0
569,245100401001074,,977.2
570,245100401001075,,1061.3
571,245100401001076,,1182.2
572,245100401001077,3.0,701.0
573,245100401001078,,663.9
574,245100401001079,,538.0
575,245100401001080,,539.9
576,245100401001081,,551.1
577,245100401001082,,589.9
578,245100401001083,,645.6
579,245100401001084,,692.6
580,245100401001085,,813.1
581,245100401001086,,839.0
582,245100401001087,,872.2
583,245100401001088,,992.1
584,245100401001089,,922.9
585,245100401001090,,773.8
586,245100401001091,,723.4
587,245100401001092,,678.4
588,245100401001093,,606.3
589,245100401001094,,659.4
590,245100401001095,,722.6
591,245100401001096,,792.9
592,245100401001097,,1116.6
593,245100401001098,,1034.0
594,245100401001099,,1060.4
595,245100401001100,,957.6
596,245100401001101,,852.5
597,245100401001102,,750.5
598,245100401001103,,491.3
599,245100401001104,,393.3
600,245100401001105,,221.7
601,245100401001106,,1109.9
602,245100401001107,,970.1
603,245100401001108,,834.6
604,245100401001109,6.0,863.1
605,245100401002000,29.0,387.5
606,245100401002001,7.0,473.8
607,245100401002002,,540.3
608,245100401002003,,569.2
609,245100401002004,32.0,624.9
610,245100401002005,10.0,665.8
611,245100401002006,16.0,730.7
612,245100401002007,7.0,873.4
613,245100401002008,,716.8
614,245100401002009,22.0,652.3
615,245100401002010,,701.1
616,245100401002011,79.0,659.6
617,245100401002012,,627.0
618,245100401002013,,515.6
619,245100401002014,11.0,413.3
620,245100401002015,27.0,395.7
621,245100401002016,15.0,368.2
622,245100401002017,75.0,232.2
623,245100401002018,1.0,342.8
624,245100401002019,1.0,559.6
625,245100401002020,,561.5
626,245100401002021,,502.6
627,245100401002022,12.0,366.1
628,245100401002023,39.0,281.1
629,245100401002024,7.0,176.2
630,245100401002025,39.0,127.2
631,245100401002026,37.0,221.5
632,245100401002027,,621.5
633,245100401002028,2.0,741.6
634,245100401002029,277.0,140.2
635,245100401002030,,418.0
636,245100401002031,,524.4
637,245100401002032,200.0,557.8
638,245100401002033,,427.2
639,245100401002034,,363.0
640,245100401002035,,266.3
641,245100401002036,884.0,252.7
642,245100401002037,3.0,458.1
643,245100401002038,,608.9
644,245100401002039,,692.5
645,245100401002040,,739.6
646,245100401002041,,714.1
647,245100401002042,,842.2
648,245100401002043,,665.6
649,245100401002044,278.0,600.4
650,245100401002045,2.0,498.9
651,245100401002046,,449.0
652,245100401002047,,458.8
653,245100401002048,,281.7
654,245100401002049,3.0,313.6
655,245100401002050,,946.8
656,245100401002051,192.0,735.6
657,245100401002052,,566.6
658,245100401002053,,528.5
659,245100401002054,,419.9
660,245100401002055,8.0,562.2
661,245100402001000,3.0,802.7
662,245100402001001,,1034.5
663,245100402001002,,1083.0
664,245100402001003,,843.6
665,245100402001004,,847.7
666,245100402001005,5.0,847.9
667,245100402001006,42.0,767.9
668,245100402001007,,846.3
669,245100402001008,2.0,912.0
670,245100402001009,,885.0
671,245100402001010,,969.1
672,245100402001011,,1040.7
673,245100402001012,,1133.1
674,245100402001013,23.0,1087.5
675,245100402001014,,1089.1
676,245100402001015,285.0,971.5
677,245100402001016,166.0,910.6
678,245100402001017,,982.7
679,245100402001018,,1111.3
680,245100402001019,,1150.9
681,245100402001020,66.0,1161.7
682,245100402001021,,999.8
683,245100402001022,,1295.9
684,245100402001023,,1350.7
685,245100402001024,8.0,1239.1
686,245100402001025,115.0,1086.5
687,245100402001026,,1263.1
688,245100402001027,,1343.1
689,245100402001028,,1262.9
690,245100402001029,,1434.3
